SciFi_Movies.Name,SciFi_Movies.Duration,SciFi_Movies.Rating,SciFi_Movies.Release_date,SciFi_Movies.Plot,SciFi_Movies.Budget,Movie_Staff.StaffID,Movie_Staff.Name,Movie_Staff.JobTitle,Movie_Staff.AvgSalary,Movie_Staff.DOB,Movie_Staff.Email,Movie_Staff.phone,Characters.FilmID,Characters.CharID,Characters.Name,Characters.Appearance,Characters.Background,Characters.ActorID,Works_On.FilmID,Works_On.StaffID,Segments.FilmID,Segments.Number,Segments.Duration,Segments.Setting,Segments.Discription,Part_In.FilmID,Part_In.SegmentNum,Part_In.CharID
null,null,null,null,null,null,null,null,null,null,null,null,null,Anacondas Trail of Blood,6,William Ayala,Muscular character with Gray hair and Brown eyes. Additionally the character has Scar on left cheek.,Character is skilled in stealth and thievery.,33,Aquaman,122,Aquaman,1,8,A bustling cyberpunk cityscape filled with neon lights and towering skyscrapers.,A time loop traps a group of people in the same day repeating endlessly.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Another Day,1,Jennifer Anderson,Average character with Blonde hair and Hazel eyes.,Character is involved in trade or commerce.,95,Aquaman,137,Aquaman,2,8,A remote village nestled deep within a mist shrouded forest.,A rogue AI gains sentience and plots to overthrow its creators.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Another Day,2,Margaret Miller,Athletic character with Brown hair and Gray eyes. Additionally the character has Tattoo on forearm.,Character is involved in trade or commerce.,85,Aquaman,15,Aquaman,3,8,An abandoned space station drifting aimlessly in the void of space.,An ancient artifact is stolen from a museum unleashing chaos upon the world.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Another Day,3,Lori Klein,Slender character with Blonde hair and Brown eyes.,Character comes from a humble background as a peasant or commoner.,158,Attack of the 50 Ft. Woman,200,Aquaman,4,8,A sun drenched tropical island surrounded by crystal clear waters.,A werewolf struggles to control their transformation during the full moon.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Another Day,4,Joshua Rivas,Curvy character with Black hair and Hazel eyes.,Character is educated and scholarly in nature.,102,Attack of the 50 Ft. Woman,199,Aquaman,5,8,An ancient temple hidden in the heart of a dense jungle.,A young prince is cursed to live as a beast until he finds true love.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Another Day,5,Jeffery Rivera,Lean character with Blonde hair and Green eyes. Additionally the character has Scar on left cheek.,Character is educated and scholarly in nature.,18,Attack of the 50 Ft. Woman,187,Aquaman,6,8,A sprawling medieval castle perched atop a rugged mountain peak.,A pair of siblings discover they have magical abilities and must learn to control them.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Another Day,6,Elizabeth Rivers,Short character with Red hair and Green eyes.,Character is educated and scholarly in nature.,42,Battlestar Galactica Razor,186,Attack of the 50 Ft. Woman,1,90,A quaint seaside town with colorful cottages lining the shore.,A scientist creates a clone of themselves but the clone has sinister intentions.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Another Day,7,Sean Cameron,Chubby character with Brown hair and Hazel eyes.,Character is talented in creative pursuits such as art or music.,72,Battlestar Galactica Razor,152,Battlestar Galactica Razor,1,21,A desolate wasteland scorched by the relentless sun and plagued by sandstorms.,A group of survivors must fend off a horde of zombies during the apocalypse.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Aquaman,1,Emily Watts,Average character with Black hair and Brown eyes.,Character operates outside the law often as a fugitive or rebel.,192,Battlestar Galactica Razor,199,Battlestar Galactica Razor,2,21,An underwater city teeming with exotic sea creatures and ancient ruins.,A genie grants three wishes to whoever releases it from its lamp.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Aquaman,2,Andrew Black,Curvy character with Red hair and Green eyes.,Character is trained in combat and warfare.,52,Battlestar Galactica Razor,8,Battlestar Galactica Razor,3,21,A futuristic metropolis where advanced technology coexists with urban decay.,A cursed ring brings wealth to its owner but at a terrible price.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Aquaman,3,Alexander Smith,Athletic character with Brown hair and Brown eyes.,Character comes from a noble or aristocratic family.,1,Ben 10 Alien Swarm,97,Battlestar Galactica Razor,4,21,A mysterious labyrinthine maze filled with twisting passages and deadly traps.,A dragon terrorizes a kingdom until a brave knight sets out to slay it.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Aquaman,4,Michael Harrell,Tall character with Gray hair and Gray eyes. Additionally the character has Tattoo on forearm.,Character seeks excitement and adventure.,172,Ben 10 Alien Swarm,121,Battlestar Galactica Razor,5,21,A snow covered wilderness inhabited by fierce creatures and intrepid explorers.,A mysterious illness spreads through a small town turning its residents into monsters.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Aquaman,5,Jessica Fields,Stocky character with Brown hair and Brown eyes.,Character comes from a noble or aristocratic family.,46,Ben 10 Alien Swarm,28,Ben 10 Alien Swarm,1,35,A haunted mansion shrouded in darkness and filled with restless spirits.,An enchanted forest holds the key to breaking a powerful curse.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Aquaman,6,Kylie Diaz,Average character with White hair and Hazel eyes.,Character is talented in creative pursuits such as art or music.,80,Ben 10 Race Against Time,100,Ben 10 Alien Swarm,2,35,A sprawling farmstead surrounded by rolling fields of golden wheat.,A group of aliens land on Earth disguised as humans on a mission of peace.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Aquaman,7,Jared Terry II,Lean character with Red hair and Green eyes. Additionally the character has Mole above right eyebrow.,Character is trained in combat and warfare.,65,Ben 10 Race Against Time,199,Ben 10 Race Against Time,1,33,A bustling marketplace alive with the sights sounds and smells of exotic goods.,A time traveler inadvertently changes the course of history and must set things right.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Aquaman,8,Samuel Jacobson,Chubby character with Black hair and Gray eyes.,Character comes from a humble background as a peasant or commoner.,143,Ben 10 Race Against Time,177,Ben 10 Race Against Time,2,34,A hidden valley hidden behind towering mountains untouched by civilization.,A haunted doll comes to life and wreaks havoc on its unsuspecting owner.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Attack of the 50 Ft. Woman,1,Leslie Gutierrez,Average character with Red hair and Blue eyes.,Character comes from a noble or aristocratic family.,184,Bikini Time Machine,89,Bikini Time Machine,1,28,An ancient colosseum where gladiators battle for glory in front of cheering crowds.,A group of misfit monsters form a band and become unlikely heroes.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Battlestar Galactica Razor,1,Oscar Bryant,Stocky character with Brown hair and Blue eyes.,Character is trained in combat and warfare.,39,Bikini Time Machine,130,Bikini Time Machine,2,28,A tranquil lakeside retreat nestled among towering pine trees.,A mad scientist creates a giant monster that threatens to destroy the city.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Battlestar Galactica Razor,2,Diana Reed,Slender character with Gray hair and Hazel eyes. Additionally the character has Mole above right eyebrow.,Character is devoted to religious practices and beliefs.,48,Bikini Time Machine,189,Bikini Time Machine,3,28,A subterranean cavern illuminated by glowing crystals and inhabited by strange creatures.,A cursed mask grants its wearer incredible powers but at a terrible cost.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Battlestar Galactica Razor,3,Gina Collins,Tall character with White hair and Gray eyes.,Character is trained in combat and warfare.,127,Bikini Time Machine,15,Bionic Showdown The Six Million Dollar Man and the Bionic Woman,1,97,A fairy tale castle floating high above the clouds on a majestic floating island.,A group of explorers discovers a hidden underground civilization.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Battlestar Galactica Razor,4,Sarah Hunter,Curvy character with White hair and Blue eyes.,Character is involved in trade or commerce.,92,Bionic Showdown The Six Million Dollar Man and the Bionic Woman,77,Brave New World,1,37,A dilapidated industrial complex overrun by nature and home to hidden secrets.,A magical storm transports a modern day person to a medieval kingdom.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Battlestar Galactica Razor,5,Sean Phillips MD,Tall character with Blonde hair and Green eyes.,Character seeks excitement and adventure.,84,Bionic Showdown The Six Million Dollar Man and the Bionic Woman,126,Brave New World,2,37,A charming medieval village with cobblestone streets and thatched roof cottages.,A pair of star crossed lovers must overcome obstacles to be together.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Battlestar Galactica Razor,6,Laura Harrington,Chubby character with Red hair and Green eyes.,Character is educated and scholarly in nature.,81,Bionic Showdown The Six Million Dollar Man and the Bionic Woman,137,Brave New World,3,37,A futuristic space station orbiting a distant planet home to a diverse array of alien species.,A cursed town is trapped in perpetual darkness until a hero arrives to save it.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Ben 10 Alien Swarm,1,Amy Palmer,Lean character with White hair and Gray eyes.,Character is trained in combat and warfare.,104,Bionic Showdown The Six Million Dollar Man and the Bionic Woman,178,Brave New World,4,37,A sprawling university campus bustling with students and faculty from around the world.,A talking animal embarks on a quest to find the legendary Fountain of Youth.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Ben 10 Alien Swarm,2,Richard Ward,Short character with Black hair and Gray eyes.,Character is talented in creative pursuits such as art or music.,118,Brave New World,89,Brave New World,5,37,An ancient pyramid rising from the desert sands its secrets waiting to be uncovered.,A mysterious figure leaves cryptic messages around town leading to a hidden treasure.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Ben 10 Alien Swarm,3,Morgan Harris,Chubby character with Red hair and Gray eyes.,Character is trained in combat and warfare.,161,Brave New World,116,Caravan of Courage An Ewok Adventure,1,13,A lush rainforest alive with the calls of exotic birds and the chatter of monkeys.,A ghostly apparition haunts a remote mansion seeking revenge for past injustices.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Ben 10 Alien Swarm,4,Tammy Miller,Average character with White hair and Hazel eyes. Additionally the character has Birthmark on neck.,Character is skilled in stealth and thievery.,103,Brave New World,180,Caravan of Courage An Ewok Adventure,2,13,A bustling port city filled with sailors merchants and travelers from distant lands.,A cursed sword brings destruction to anyone who wields it.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Ben 10 Alien Swarm,5,Karen Schneider,Short character with Black hair and Brown eyes.,Character seeks excitement and adventure.,157,Caravan of Courage An Ewok Adventure,41,Caravan of Courage An Ewok Adventure,3,13,A quaint countryside inn nestled among rolling hills and verdant meadows.,A group of supernatural beings form an alliance to protect humanity from evil.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Ben 10 Alien Swarm,6,Erika Norris,Tall character with Red hair and Hazel eyes. Additionally the character has Tattoo on forearm.,Character is educated and scholarly in nature.,114,Caravan of Courage An Ewok Adventure,139,Caravan of Courage An Ewok Adventure,4,13,An abandoned amusement park reclaimed by nature and haunted by its past.,A lone astronaut discovers a mysterious alien artifact on a distant planet.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Ben 10 Race Against Time,1,Mary Russo,Slender character with Gray hair and Blue eyes.,Character seeks excitement and adventure.,66,Caravan of Courage An Ewok Adventure,130,Caravan of Courage An Ewok Adventure,5,13,A hidden underground bunker built to withstand the apocalypse now home to survivors of a global catastrophe.,A struggling musician makes a deal with the devil for fame and fortune.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Ben 10 Race Against Time,2,Renee Marshall,Average character with White hair and Brown eyes.,Character is educated and scholarly in nature.,94,Caravan of Courage An Ewok Adventure,113,Caravan of Courage An Ewok Adventure,6,13,A vast network of interconnected caves winding deep beneath the earths surface.,A time traveler inadvertently alters the course of history during a routine mission.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Ben 10 Race Against Time,3,Jaime Stephens,Average character with White hair and Brown eyes.,Character seeks excitement and adventure.,101,Caravan of Courage An Ewok Adventure,8,Caravan of Courage An Ewok Adventure,7,13,A majestic waterfall cascading down sheer cliffs into a sparkling pool below.,An eccentric inventor builds a machine that can control the weather.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Ben 10 Race Against Time,4,Clayton Myers,Muscular character with Brown hair and Gray eyes. Additionally the character has Freckles across nose.,Character is involved in trade or commerce.,123,Carrie,98,Caravan of Courage An Ewok Adventure,8,13,A remote outpost on the edge of known space where explorers gather before venturing into the unknown.,A group of survivors must navigate a post apocalyptic world overrun by zombies.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Ben 10 Race Against Time,5,Brooke Jefferson,Athletic character with White hair and Blue eyes.,Character is trained in combat and warfare.,185,Carrie,151,Carrie,1,17,A tranquil monastery nestled high in the mountains home to wise monks and ancient teachings.,A cursed painting brings misfortune to all who possess it.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Ben 10 Race Against Time,6,Heather Fischer,Curvy character with White hair and Gray eyes.,Character operates outside the law often as a fugitive or rebel.,12,Carrie,17,Carrie,2,17,An ancient forest filled with towering trees and inhabited by mythical creatures.,A detective hunts down a serial killer who leaves cryptic clues at each crime scene.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Bikini Time Machine,1,Kevin Miller,Athletic character with White hair and Blue eyes. Additionally the character has Tattoo on forearm.,Character seeks excitement and adventure.,119,Doctor Who The Movie,82,Carrie,3,17,A bustling city street alive with the sounds of traffic music and conversation.,A group of teenagers uncover a hidden passage leading to a forgotten underground city.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Bikini Time Machine,2,William Curtis,Short character with Blonde hair and Green eyes. Additionally the character has Birthmark on neck.,Character operates outside the law often as a fugitive or rebel.,107,Doctor Who The Movie,130,Carrie,4,17,A windswept desert dotted with towering sand dunes and ancient ruins.,A treasure hunter searches for a legendary lost city deep in the Amazon rainforest.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Bikini Time Machine,3,Kari Zimmerman,Tall character with Brown hair and Gray eyes. Additionally the character has Freckles across nose.,Character operates outside the law often as a fugitive or rebel.,60,Doctor Who The Movie,160,Carrie,5,17,A serene mountain lake surrounded by snow capped peaks and lush forests.,A scientist creates a sentient AI that begins to question its own existence.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Bikini Time Machine,4,Christopher Mcdaniel,Stocky character with Blonde hair and Blue eyes. Additionally the character has Tattoo on forearm.,Character is talented in creative pursuits such as art or music.,191,Doctor Who The Movie,150,Carrie,6,17,A hidden underground city built by an advanced civilization long forgotten.,A group of friends stumble upon a portal to a parallel universe.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Bikini Time Machine,5,Gary Jenkins,Stocky character with Red hair and Green eyes.,Character is involved in trade or commerce.,4,Doctor Who The Movie,15,Carrie,7,17,A bustling spaceport on the edge of the galaxy where traders smugglers and adventurers converge.,An ancient prophecy foretells the coming of a chosen one who will save the world.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Bikini Time Machine,6,Alex Johnson,Average character with Brown hair and Hazel eyes. Additionally the character has Mole above right eyebrow.,Character is educated and scholarly in nature.,58,Doragon bru Z Tatta hitori no saish kessen,40,Carrie,8,17,A forgotten graveyard shrouded in mist and haunted by the spirits of the dead.,A family moves into a haunted house and must confront the vengeful spirits within.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Bikini Time Machine,7,Crystal Miller,Tall character with White hair and Blue eyes.,Character comes from a noble or aristocratic family.,2,Doragon bru Z Tatta hitori no saish kessen,139,Doctor Who The Movie,1,15,A majestic castle perched on the edge of a cliff overlooking the sea.,A war hero is haunted by visions of the battlefield long after returning home.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Bikini Time Machine,8,Miss Stephanie Garcia DVM,Short character with Black hair and Hazel eyes.,Character is involved in trade or commerce.,67,Doragon bru Z Tatta hitori no saish kessen,121,Doctor Who The Movie,2,15,A quaint country cottage nestled among fields of colorful wildflowers.,A master thief plans the ultimate heist to steal a priceless artifact from a heavily guarded museum.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Bionic Showdown The Six Million Dollar Man and the Bionic Woman,1,Gregory Williams,Athletic character with Gray hair and Blue eyes. Additionally the character has Freckles across nose.,Character is educated and scholarly in nature.,106,Doragon bru Z Tatta hitori no saish kessen,6,Doctor Who The Movie,3,15,A bustling marketplace filled with vendors selling exotic spices textiles and trinkets.,A reclusive writer discovers that the characters from her novel are coming to life.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Bionic Showdown The Six Million Dollar Man and the Bionic Woman,2,Randy Wilson,Stocky character with White hair and Brown eyes.,Character is skilled in stealth and thievery.,49,Earth vs. the Spider,117,Doctor Who The Movie,4,15,An ancient battlefield strewn with the remnants of war and haunted by the ghosts of fallen soldiers.,A small town is terrorized by a werewolf during the full moon.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Bionic Showdown The Six Million Dollar Man and the Bionic Woman,3,Natasha Orr,Tall character with White hair and Blue eyes.,Character seeks excitement and adventure.,131,Earth vs. the Spider,164,Doctor Who The Movie,5,15,A hidden oasis nestled in the heart of a scorching desert its waters said to grant eternal life.,An archaeologist uncovers a cursed tomb and must escape before it seals shut forever.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Bionic Showdown The Six Million Dollar Man and the Bionic Woman,4,Eric Brewer,Tall character with Black hair and Green eyes.,Character comes from a humble background as a peasant or commoner.,30,Earth vs. the Spider,17,Doctor Who The Movie,6,15,A sprawling metropolis stretching as far as the eye can see its skyline dominated by towering skyscrapers.,A group of strangers wake up in a mysterious labyrinth with no memory of how they got there.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Bionic Showdown The Six Million Dollar Man and the Bionic Woman,5,Bradley Stein,Average character with Blonde hair and Gray eyes. Additionally the character has Scar on left cheek.,Character is trained in combat and warfare.,50,Emmanuelle A World of Desire,132,Doragon bru Z Tatta hitori no saish kessen,1,9,A remote outpost on a frozen tundra where hardy settlers brave the elements to eke out a living.,A powerful sorcerer seeks revenge on those who wronged him in the past.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Brave New World,1,Ryan Harrison,Curvy character with Gray hair and Gray eyes.,Character seeks excitement and adventure.,57,Emmanuelle A World of Desire,122,Doragon bru Z Tatta hitori no saish kessen,2,9,A secret laboratory hidden deep beneath the earths surface where scientists conduct forbidden experiments.,A chef enters a high stakes cooking competition with a secret ingredient that could change everything.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Brave New World,2,Kristin Farley,Average character with Blonde hair and Green eyes.,Character comes from a noble or aristocratic family.,142,Emmanuelle A World of Desire,139,Doragon bru Z Tatta hitori no saish kessen,3,9,A tranquil garden hidden behind high walls its beauty a sanctuary from the chaos of the outside world.,A young girl discovers she has the ability to communicate with animals.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Brave New World,3,Jennifer Martin,Stocky character with Blonde hair and Hazel eyes. Additionally the character has Freckles across nose.,Character is skilled in stealth and thievery.,96,Emmanuelle A World of Desire,8,Doragon bru Z Tatta hitori no saish kessen,4,9,A picturesque countryside dotted with quaint villages and rolling hills.,A magical amulet grants its wearer incredible powers but comes with a deadly price.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Brave New World,4,Mr. Angel Horn,Athletic character with Brown hair and Hazel eyes.,Character seeks excitement and adventure.,78,Escape to Witch Mountain,188,Doragon bru Z Tatta hitori no saish kessen,5,9,A dense fog shrouded swamp filled with ancient secrets and lurking dangers.,A disgraced ex cop must clear his name and solve a murder before its too late.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Brave New World,5,Dale Cameron,Muscular character with Gray hair and Hazel eyes. Additionally the character has Birthmark on neck.,Character is skilled in stealth and thievery.,24,Escape to Witch Mountain,189,Doragon bru Z Tatta hitori no saish kessen,6,9,An idyllic coastal village with colorful fishermens cottages and sandy beaches.,A group of survivors must defend their colony against a horde of invading aliens.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Brave New World,6,Seth Sheppard,Stocky character with Black hair and Blue eyes.,Character is devoted to religious practices and beliefs.,64,Escape to Witch Mountain,187,Earth vs. the Spider,1,19,A bustling metropolis at the bottom of the ocean with towering skyscrapers and underwater highways.,A cursed ring brings fortune to its owner but brings tragedy to those around them.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Brave New World,7,Dr. John Klein,Chubby character with Black hair and Hazel eyes.,Character comes from a humble background as a peasant or commoner.,62,Ewoks The Battle for Endor,175,Earth vs. the Spider,2,19,A remote mountain monastery where monks study ancient texts and practice martial arts.,A top secret government experiment goes horribly wrong unleashing a monstrous creature on the world.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Brave New World,8,Vanessa Barnes,Stocky character with Brown hair and Green eyes.,Character is trained in combat and warfare.,20,Ewoks The Battle for Endor,138,Earth vs. the Spider,3,19,A vast icy wilderness where polar bears roam and the northern lights dance across the sky.,A pair of star crossed lovers must overcome their feuding families to be together.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Brave New World,9,Dennis Castro,Slender character with Gray hair and Gray eyes.,Character is involved in trade or commerce.,163,Ewoks The Battle for Endor,159,Emmanuelle A World of Desire,1,19,A hidden valley filled with lush vegetation and exotic wildlife untouched by modern civilization.,A deadly virus threatens to wipe out humanity and only one scientist has the cure.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Brave New World,10,Michael Yates,Tall character with Brown hair and Green eyes.,Character is devoted to religious practices and beliefs.,63,Ewoks The Battle for Endor,3,Emmanuelle A World of Desire,2,19,A futuristic cityscape dominated by sleek high tech buildings and flying cars.,A ghost hunter investigates a haunted mansion with terrifying results.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Brave New World,11,Laura Martin,Chubby character with White hair and Blue eyes.,Character comes from a noble or aristocratic family.,153,Fallen III The Destiny,77,Emmanuelle A World of Desire,3,19,An enchanted forest where trees whisper secrets and mythical creatures dwell.,A stranded traveler seeks shelter in a remote village with a dark secret.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Caravan of Courage An Ewok Adventure,1,Brian Harding,Average character with Black hair and Blue eyes. Additionally the character has Scar on left cheek.,Character is trained in combat and warfare.,136,Fallen III The Destiny,170,Emmanuelle A World of Desire,4,19,A sprawling underground city carved into the depths of the earth illuminated by glowing crystals.,A master swordsman seeks vengeance against the warlord who killed his family.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Caravan of Courage An Ewok Adventure,2,John Green,Tall character with Black hair and Blue eyes.,Character is involved in trade or commerce.,120,Fallen III The Destiny,159,Emmanuelle A World of Desire,5,19,A charming village nestled in the heart of wine country surrounded by vineyards and rolling hills.,A forbidden romance blossoms between a vampire and a mortal.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Caravan of Courage An Ewok Adventure,3,Regina Wilcox,Curvy character with Red hair and Brown eyes.,Character is skilled in stealth and thievery.,69,Fallen III The Destiny,19,Escape to Witch Mountain,1,30,A bustling bazaar in the heart of a desert oasis where traders from distant lands come to barter and trade.,A group of survivors must brave the elements and find shelter before a deadly storm hits.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Caravan of Courage An Ewok Adventure,4,Crystal Edwards,Slender character with Gray hair and Green eyes. Additionally the character has Mole above right eyebrow.,Character seeks excitement and adventure.,71,Fatherland,197,Escape to Witch Mountain,2,30,An ancient ruin overrun by dense jungle foliage its crumbling walls hiding untold treasures.,A down on his luck gambler enters a high stakes poker game with everything on the line.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Caravan of Courage An Ewok Adventure,5,Daniel Smith,Muscular character with Blonde hair and Hazel eyes. Additionally the character has Birthmark on neck.,Character seeks excitement and adventure.,74,Fatherland,189,Escape to Witch Mountain,3,30,A remote island paradise with pristine beaches palm trees and crystal clear waters.,A cursed book brings unspeakable horrors to anyone who reads it.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Carrie,1,Karen Gonzalez,Curvy character with White hair and Green eyes. Additionally the character has Tattoo on forearm.,Character is trained in combat and warfare.,105,Fatherland,19,Fallen III The Destiny,1,14,A majestic waterfall cascading down sheer cliffs into a sparkling pool below surrounded by lush vegetation.,A cursed mask grants its wearer incredible powers but corrupts their soul in the process.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Carrie,2,Dr. Katrina Martinez,Chubby character with Brown hair and Hazel eyes.,Character is devoted to religious practices and beliefs.,141,Flowers for Algernon,194,Fallen III The Destiny,2,14,A hidden underground bunker built to withstand a nuclear apocalypse stocked with supplies and guarded by automated defenses.,A stranded astronaut must find a way to survive on a hostile alien planet.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Carrie,3,Carla Parrish,Chubby character with Blonde hair and Blue eyes.,Character comes from a noble or aristocratic family.,91,Flowers for Algernon,195,Fatherland,1,12,A tranquil mountain village nestled in the shadow of towering peaks its residents living a simple peaceful life.,A con artist poses as a psychic medium and uncovers a real supernatural threat.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Carrie,4,Katie Turner,Short character with Black hair and Green eyes.,Character comes from a humble background as a peasant or commoner.,88,Flowers for Algernon,38,Flowers for Algernon,1,25,An abandoned mine shaft stretching deep into the earth its tunnels twisting and turning like a labyrinth.,A group of time travelers accidentally alter the course of history and must fix their mistake.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Carrie,5,Dr. Paula Martin MD,Tall character with Brown hair and Hazel eyes.,Character comes from a humble background as a peasant or commoner.,169,Frankenstein The True Story,29,Flowers for Algernon,2,25,A bustling marketplace in the heart of a medieval city with vendors selling everything from spices to silks.,A cursed town is trapped in a perpetual loop reliving the same day over and over again.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Doctor Who The Movie,1,Christopher Garcia,Athletic character with Gray hair and Hazel eyes.,Character is educated and scholarly in nature.,54,Frankenstein The True Story,122,Flowers for Algernon,3,25,A vast otherworldly desert with shifting sands and strange rock formations.,A scientist creates a serum that grants immortality but at a terrible cost.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Doctor Who The Movie,2,Melissa Singleton,Muscular character with Red hair and Green eyes.,Character is devoted to religious practices and beliefs.,51,Frankenstein The True Story,164,Flowers for Algernon,4,25,An ancient temple hidden deep within a dense jungle guarded by traps and ancient guardians.,A team of explorers discovers a hidden civilization deep in the jungle with advanced technology.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Doctor Who The Movie,3,Nancy Brown,Muscular character with Gray hair and Gray eyes.,Character is educated and scholarly in nature.,61,Frankenstein The True Story,35,Flowers for Algernon,5,25,A remote fishing village perched on the edge of a rugged coastline battered by wind and waves.,An ancient prophecy foretells the rise of a chosen one who will bring balance to the world.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Doctor Who The Movie,4,Stephanie Richards,Tall character with Blonde hair and Brown eyes.,Character is talented in creative pursuits such as art or music.,79,Generation X,165,Generation X,1,15,A remote outpost on the edge of a vast desert where travelers rest before continuing their journey.,A cursed doll brings misfortune to all who possess it.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Doctor Who The Movie,5,Kimberly Finley,Curvy character with Brown hair and Brown eyes.,Character is involved in trade or commerce.,32,Generation X,152,Generation X,2,15,A majestic waterfall cascading down sheer cliffs into a sparkling pool below surrounded by lush vegetation.,A vengeful spirit haunts the halls of an abandoned mansion seeking revenge on those who wronged it.,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,Doctor Who The Movie,6,Susan Bailey,Athletic character with Black hair and Blue eyes. Additionally the character has Mole above right eyebrow.,Character is educated and scholarly in nature.,148,Generation X,177,Generation X,3,15,A hidden underground bunker built to withstand a nuclear apocalypse stocked with supplies and guarded by automated defenses.,A group of survivors must escape a sinking ship before its too late.,null,null,null
